AccountNumber,NMI,Register,ReadConsumption,ReadUnit,ReadQuality,ReadDate,ReadTime
30208631,61028893219,"E1",0.21500,kWh,A,2025-03-18,01:00:00
30208631,61028893219,"E2",1.79000,kWh,A,2025-03-18,01:00:00
30208631,61028893219,"E2",0.31500,kWh,A,2025-03-18,01:30:00
30208631,61028893219,"E1",0.22400,kWh,A,2025-03-18,01:30:00
30208631,61028893219,"E2",0.00000,kWh,A,2025-03-18,02:00:00
30208631,61028893219,"E1",0.19000,kWh,A,2025-03-18,02:00:00
30208631,61028893219,"E1",0.20700,kWh,A,2025-03-18,02:30:00
30208631,61028893219,"E2",0.65900,kWh,A,2025-03-18,02:30:00
30208631,61028893219,"E2",0.00000,kWh,A,2025-03-18,03:00:00
30208631,61028893219,"E1",0.20300,kWh,A,2025-03-18,03:00:00
30208631,61028893219,"E2",0.00000,kWh,A,2025-03-18,03:30:00
30208631,61028893219,"E1",0.19300,kWh,A,2025-03-18,03:30:00
30208631,61028893219,"E1",0.24000,kWh,A,2025-03-18,04:00:00
30208631,61028893219,"E2",0.00000,kWh,A,2025-03-18,04:00:00
30208631,61028893219,"E1",0.21700,kWh,A,2025-03-18,04:30:00
30208631,61028893219,"E2",0.00000,kWh,A,2025-03-18,04:30:00
30208631,61028893219,"E2",0.00000,kWh,A,2025-03-18,05:00:00
30208631,61028893219,"E1",0.22300,kWh,A,2025-03-18,05:00:00
30208631,61028893219,"E2",0.00000,kWh,A,2025-03-18,05:30:00
30208631,61028893219,"E1",0.19800,kWh,A,2025-03-18,05:30:00
30208631,61028893219,"E1",0.20700,kWh,A,2025-03-18,06:00:00
30208631,61028893219,"E2",0.50300,kWh,A,2025-03-18,06:00:00
30208631,61028893219,"E1",0.21100,kWh,A,2025-03-18,06:30:00
30208631,61028893219,"E2",0.00000,kWh,A,2025-03-18,06:30:00
30208631,61028893219,"E2",0.00000,kWh,A,2025-03-18,07:00:00
30208631,61028893219,"E1",0.19000,kWh,A,2025-03-18,07:00:00
30208631,61028893219,"E1",0.21200,kWh,A,2025-03-18,07:30:00
30208631,61028893219,"E2",0.00000,kWh,A,2025-03-18,07:30:00
30208631,61028893219,"E1",0.19500,kWh,A,2025-03-18,08:00:00
30208631,61028893219,"E2",0.00000,kWh,A,2025-03-18,08:00:00
30208631,61028893219,"E1",0.20700,kWh,A,2025-03-18,08:30:00
30208631,61028893219,"E2",0.00000,kWh,A,2025-03-18,08:30:00
30208631,61028893219,"E1",0.28300,kWh,A,2025-03-18,09:00:00
30208631,61028893219,"E2",0.00000,kWh,A,2025-03-18,09:00:00
30208631,61028893219,"E2",0.00000,kWh,A,2025-03-18,09:30:00
30208631,61028893219,"E1",0.20500,kWh,A,2025-03-18,09:30:00
30208631,61028893219,"E1",0.23000,kWh,A,2025-03-18,10:00:00
30208631,61028893219,"E2",0.00000,kWh,A,2025-03-18,10:00:00
30208631,61028893219,"E1",0.22200,kWh,A,2025-03-18,10:30:00
30208631,61028893219,"E2",0.00000,kWh,A,2025-03-18,10:30:00
30208631,61028893219,"E2",0.00000,kWh,A,2025-03-18,11:00:00
30208631,61028893219,"E1",0.18600,kWh,A,2025-03-18,11:00:00
30208631,61028893219,"E1",0.22200,kWh,A,2025-03-18,11:30:00
30208631,61028893219,"E2",0.00000,kWh,A,2025-03-18,11:30:00
30208631,61028893219,"E1",0.35100,kWh,A,2025-03-18,12:00:00
30208631,61028893219,"E2",0.00000,kWh,A,2025-03-18,12:00:00
30208631,61028893219,"E1",0.22400,kWh,A,2025-03-18,12:30:00
30208631,61028893219,"E2",0.00000,kWh,A,2025-03-18,12:30:00
30208631,61028893219,"E2",0.00000,kWh,A,2025-03-18,13:00:00
30208631,61028893219,"E1",0.21600,kWh,A,2025-03-18,13:00:00
30208631,61028893219,"E2",0.00000,kWh,A,2025-03-18,13:30:00
30208631,61028893219,"E1",0.20300,kWh,A,2025-03-18,13:30:00
30208631,61028893219,"E1",0.23900,kWh,A,2025-03-18,14:00:00
30208631,61028893219,"E2",0.00000,kWh,A,2025-03-18,14:00:00
30208631,61028893219,"E1",0.32500,kWh,A,2025-03-18,14:30:00
30208631,61028893219,"E2",0.00000,kWh,A,2025-03-18,14:30:00
30208631,61028893219,"E1",0.30800,kWh,A,2025-03-18,15:00:00
30208631,61028893219,"E2",0.00000,kWh,A,2025-03-18,15:00:00
30208631,61028893219,"E2",0.00000,kWh,A,2025-03-18,15:30:00
30208631,61028893219,"E1",0.29200,kWh,A,2025-03-18,15:30:00
30208631,61028893219,"E1",0.24400,kWh,A,2025-03-18,16:00:00
30208631,61028893219,"E2",0.00000,kWh,A,2025-03-18,16:00:00
30208631,61028893219,"E2",0.00000,kWh,A,2025-03-18,16:30:00
30208631,61028893219,"E1",0.23500,kWh,A,2025-03-18,16:30:00
30208631,61028893219,"E2",0.00000,kWh,A,2025-03-18,17:00:00
30208631,61028893219,"E1",0.22200,kWh,A,2025-03-18,17:00:00
30208631,61028893219,"E1",0.23600,kWh,A,2025-03-18,17:30:00
30208631,61028893219,"E2",0.00000,kWh,A,2025-03-18,17:30:00
